"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","AngleInside","AngleOutside","ClumpDiam","TransectCount","TallestStemLigule","TallestStemTrueLeaf","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
2,7,10,"27987"," - Mx 1553#41","41",4.4,2.7,4.4,3.8,1,0,20,260,27,127,125,132,"","","y","y"
3,3,12,"28103"," - Mx 1553#41","41",4.2,3.1,4,3.8,0.6,0,10,270,22,143,125,143,"","","y","y"
1,7,4,"27832"," - Mx 1553#42","42",3.2,5.3,4.3,4.3,1.1,5,5,130,6,93,65,104,"","","y","y"
2,7,12,"28003"," - Mx 1553#42","42",5.5,4.4,2.1,4,1.7,0,10,260,19,116,87,122,"","","y","y"
3,9,9,"28082"," - Mx 1553#42","42",3.6,4,4.2,3.9,0.3,0,5,190,10,108,80,120,"","","y","y"
1,2,5,"27836"," - Mx 1553#43","43",4,5.5,4.1,4.5,0.8,0,15,200,17,149,131,152,"","","y","y"
2,5,2,"27916"," - Mx 1553#43","43",5.2,3.5,5.7,4.8,1.2,0,15,310,20,165,140,165,"","","y","y"
3,4,6,"28052"," - Mx 1553#43","43",5.9,5.4,4.1,5.1,0.9,0,10,350,23,160,131,170,"","","y","y"
1,7,12,"27900"," - Mx 1553#44","44",4.6,3.7,3.9,4.1,0.5,5,20,250,17,45,45,NA,"0","","","y"
2,4,5,"27942"," - Mx 1553#44","44",5.9,4.9,3.7,4.8,1.1,0,20,210,18,54,54,NA,"0","","","y"
3,5,11,"28096"," - Mx 1553#44","44",5.3,4.6,3.9,4.6,0.7,0,25,160,13,47,47,NA,"0","","","y"
1,1,5,"27835"," - Mx 1553#45","45",3.7,3,2.4,3,0.7,0,10,210,16,104,79,109,"","","y","y"
2,9,8,"27972"," - Mx 1553#45","45",3.7,3.1,2.8,3.2,0.5,0,15,200,17,104,78,107,"","","y","y"
